zpid,GT,GT_class,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
349360715,232,moderate,fast,fast,fast,"The property is located in a desirable area with numerous amenities and attractions, which typically leads to a quick sale. Its appealing features and urban location likely contributed to a fast selling time.","This property features desirable amenities, a prime location in Brooklyn, and a spacious layout, which are all attractive to buyers. The description emphasizes urban living and community, suggesting a quick sale.","The property features desirable amenities, a prime location in Brooklyn, and a spacious layout, which are all attractive to buyers. The description emphasizes urban living and community, likely leading to a quick sale."
3688301,28,moderate,moderate,moderate,moderate,"The property has a lot of potential and is located in a desirable area, but its dated condition and As-Is sale may have contributed to a moderate selling time.","The property has potential for updates and is located in a desirable area, but its dated condition and As-Is sale may lead to a moderate selling time, likely attracting buyers looking for projects.","The property has potential for customization and is located in a desirable area, but it is being sold As-Is and is dated, which may slow down the selling process."
19930505,79,moderate,moderate,moderate,moderate,"The property offers appealing features like modern finishes and amenities, which likely attracted buyers, resulting in a moderate selling time of 4 to 153 days.","The property has appealing features like modern finishes and amenities, but its age and location may contribute to a moderate selling time, likely taking longer than 4 days.","The property features desirable amenities like a pool and tennis courts, and is located in a sought-after area, which typically leads to moderate selling times."
4024518,97,moderate,moderate,moderate,moderate,"The property features extensive updates and a desirable location, which typically leads to a moderate selling time. It likely attracted interest but may have taken longer due to its age and market conditions.","The property features modern updates and a desirable location, but the age of the home and the presence of common slow-selling words suggest it may have taken longer to sell, indicating a moderate selling time.","The property features modern updates and a desirable location, but lacks fast-selling keywords like 'rehabbed' or 'walkable'. This suggests a moderate selling timeframe."
3864900,77,moderate,moderate,fast,fast,"The property is located in a desirable area with many amenities, which typically attracts buyers. However, the age of the building and the studio layout may have contributed to a moderate selling time.","The property is in a desirable River North location with a strong appeal due to its amenities and layout. The description highlights features that attract buyers, suggesting a quick sale.","The property is located in a desirable River North neighborhood with appealing features like ample storage, modern amenities, and proximity to attractions, likely attracting buyers quickly."
2093405040,45,moderate,moderate,fast,fast,"The property features high-end amenities and a prime location, which typically attract buyers. However, the age of the building and market conditions suggest a moderate selling time.","This property features desirable amenities like a rooftop deck with skyline views, modern finishes, and a prime location near transportation and amenities, which typically attract buyers quickly.","The property features high-demand elements like a rooftop deck with skyline views, modern amenities, and a prime location near transportation and amenities, suggesting a quick sale."
3937680,43,moderate,fast,fast,fast,"The description emphasizes urgency with phrases like 'will not last' and encourages immediate appointments, suggesting a high demand that likely led to a quick sale.","The description emphasizes that the house is a 'must see' and will 'not last', indicating high demand. Proximity to public transport and schools also suggests appeal, likely leading to a fast sale.","The description emphasizes the property's appeal with phrases like 'must see', 'will not last', and mentions proximity to public transport, indicating high demand and likely a quick sale."
83933929,105,moderate,moderate,fast,fast,"The property is located in a prime area of Chelsea, which typically attracts buyers, but its size and price point may lead to a moderate selling time, likely between 55 to 280 days.","This property features high-end finishes, a prime Chelsea location, and desirable amenities, which are appealing to buyers. The description suggests a luxurious lifestyle, likely leading to a quick sale.","The property features high-end finishes and appliances like Miele and Scavolini, which are attractive to buyers. Its prime Chelsea location and spacious layout likely contributed to a quick sale."
3844461,90,moderate,moderate,moderate,fast,"The property features high-end renovations and a desirable location, which typically attract buyers. However, the age of the building and current tenant situation may have extended the selling time.","The property features high-end renovations and a desirable location, but its age and the presence of tenants may have contributed to a moderate selling time.","The property features high-end finishes, great views, and a desirable location with amenities, which are appealing to buyers. These factors likely contributed to a quick sale."
20643245,16,moderate,moderate,moderate,moderate,"The property is well-located and features modern amenities, which typically attract buyers. However, the age of the home and market conditions suggest a moderate selling time.","The property has appealing features like a modern kitchen and spacious layout, but lacks strong fast-selling keywords. It likely sold in a moderate timeframe, around 2 to 128 days.","The property features modern amenities and a desirable location, but the presence of the word 'ensuite' suggests it may not be a fast-seller. Overall, it likely sold in a moderate timeframe."
3950674,44,moderate,moderate,moderate,moderate,"The property has desirable features like proximity to a park and school, but its age and size may lead to a moderate selling time, likely taking between 21 to 174 days.","The property has appealing features like a spacious layout and updated kitchen, but lacks strong fast-selling keywords. It likely sold in a moderate timeframe.","The property features desirable attributes like proximity to parks and schools, updated kitchen, and spacious layout, which typically attract buyers, leading to a moderate selling timeframe."
89937348,20,fast,moderate,fast,fast,"The property is a condo in a desirable city with a preferred lender offering a reduced interest rate, which likely attracted buyers, resulting in a moderate selling time.","The property is a condo in a desirable area of Chicago and is being offered with a reduced interest rate, which can attract buyers quickly, indicating a fast sale.","The property features a preferred lender offering reduced interest rates, which is attractive to buyers. Additionally, the presence of desirable amenities and a good location in Chicago suggests a quick sale."
20031762,46,moderate,fast,moderate,moderate,"The property is located in a highly desirable area with excellent schools and amenities, and it's priced for an immediate sale, suggesting it likely sold within 0 to 2 days.","The property has desirable features like a great location and potential for updates, but it also requires TLC, which may slow down interest. Thus, it likely sold in a moderate timeframe.","The property is described as needing updates and TLC, which may deter some buyers. However, its desirable location and features suggest it could sell in a moderate timeframe."
2076857393,83,moderate,moderate,fast,fast,"The property is well-renovated and located in a prime area, which typically attracts buyers. However, the age of the property and market conditions suggest a moderate selling time.","The property features a prime location, full renovations, and modern amenities, which are appealing to buyers. The description emphasizes outdoor space and convenience, suggesting a quick sale.","The property features modern renovations, a prime location, and desirable amenities like a backyard and open views, which are attractive to buyers, leading to a quick sale."
3623185,69,moderate,moderate,slow,moderate,"The property is a historic bungalow with unique features and a decent size, which typically attracts buyers. However, its age and 'as is' condition may lead to a moderate selling time.","The property is a historic bungalow with an 'as is' condition and lacks modern updates, which typically leads to a slower sale. Additionally, the age and specific features may deter some buyers.","The property has a mix of appealing features like a finished basement and historic charm, but its age and 'as is' condition may deter some buyers, leading to a moderate selling time."
20505595,77,moderate,moderate,fast,fast,"The property is a luxurious penthouse in a prime location, which typically attracts buyers quickly, but its age and size may have contributed to a moderate selling time.","The property features luxurious amenities, a prime location in Los Angeles, and a rare offering of a penthouse with stunning views, which typically attracts buyers quickly.","The property features luxurious amenities, stunning views, and a desirable location in Los Angeles, which typically attracts buyers quickly, leading to a fast sale."
20571945,106,moderate,moderate,moderate,moderate,"The property has been extensively renovated and includes many desirable features, which typically attract buyers. However, the age of the property and the lack of parking may have contributed to a moderate selling time.","The property has been extensively renovated, which is appealing, but the mention of 'looking for backup offers' suggests it may not have sold immediately, indicating a moderate selling time.","The property has been extensively upgraded, which typically attracts buyers, but the age of the house (114 years) may deter some. Thus, it likely sold in a moderate timeframe."
20586903,95,moderate,moderate,fast,fast,"The property is well-renovated and located in a desirable area, which typically attracts buyers. However, the age of the home and market conditions suggest a moderate selling time.","This property features extensive renovations, modern amenities, and a prime location in Los Angeles, which are appealing factors that typically lead to a quick sale.","This property features extensive renovations, modern amenities, and a desirable location in Los Angeles, which typically attracts buyers quickly, leading to a fast sale."
30716676,71,moderate,moderate,moderate,fast,"The property is a large 2-family house in a prime location with modern amenities, which typically attracts buyers. However, its age and size may lead to a moderate selling time, likely between 55 to 280 days.","The property has a large size and multiple bedrooms, which can attract families, but lacks fast-selling keywords. Its prime location and renovation may lead to a moderate selling time.","The property features modern amenities, a prime location, and a versatile layout, making it an attractive investment. Its renovated condition and rental income potential likely contributed to a quick sale."
30607868,52,fast,moderate,moderate,moderate,"The property is a 2-family home in a prime location, which typically attracts buyers. However, being sold As-Is and its age may have contributed to a moderate selling time.","The property is a 2-family home in a prime location but is being sold As-Is, which may deter some buyers. The age and condition suggest a moderate selling time, likely between 55 to 280 days.","The property is a 2-family home in a prime location but is being sold 'As-Is', which may deter some buyers. Its age and need for renovation suggest a moderate selling time."
20533643,67,moderate,moderate,slow,fast,"The property, with its luxurious features and prime location, likely attracted interest but may have taken some time to find the right buyer, resulting in a moderate selling time.","The property has a rich history and luxurious features, but the description includes terms like 'ensuite' and 'prestigious BHPO neighborhood' which are often associated with slower sales. Additionally, the age of the home may deter some buyers.","The property features modern upgrades, a desirable location in Beverly Hills, and a rich history, which typically attracts buyers quickly. Its luxurious amenities and spacious layout further enhance its appeal."
80811197,51,moderate,moderate,fast,fast,"The property is well-maintained and located in a desirable area, which typically attracts buyers. However, the age of the property and market conditions suggest a moderate selling time.","The property features modern amenities, a desirable location in a growing area, and low HOA fees, which are attractive to buyers. The description emphasizes its charm and spaciousness, likely leading to a quick sale.","The property features high-demand amenities like a spacious layout, modern kitchen, and a desirable location in a growing neighborhood, which likely contributed to a quick sale."
19971123,169,slow,moderate,moderate,moderate,"The property is back on the market, indicating it may have had a previous sale that fell through. This often leads to a moderate selling time as it may attract interest again.","The property is described as charming and well-maintained, appealing to first-time buyers and investors. However, it was back on the market due to financing issues, which may indicate a moderate selling time.","The property is a one-bedroom condo in a desirable area with amenities like parking and a pool, appealing to first-time buyers and investors. However, it was previously on the market, which may slow its sale."
32325405,144,moderate,moderate,moderate,moderate,"The property is well-maintained and offers desirable features, but its age and location may have contributed to a moderate selling time, likely taking between 55 to 280 days.","The property has appealing features like a finished basement and a rental unit, but lacks high-demand luxury keywords. This suggests a moderate selling time, likely between 55 to 280 days.","The property features a well-maintained two-family layout with modern amenities, but lacks fast-selling keywords. Its appeal may lead to a moderate selling time."
4133429,34,moderate,fast,slow,fast,"The property is described as having great potential and is located near a university, which typically attracts buyers quickly. The urgency in the description suggests it sold within 21 days.","The description emphasizes potential and value-add opportunities, which often attract slower sales. Additionally, the presence of terms like 'ranch' and 'mudroom' suggests a less urgent market appeal.","The property is centrally located near Chicago State University and offers value-add opportunities, which are attractive to buyers. The description emphasizes urgency, suggesting it will sell quickly."
2056737323,335,slow,moderate,fast,fast,"The property has appealing features and amenities, but its age and the competitive market in New York suggest it likely took longer than 55 days to sell, placing it in the moderate category.","The property features desirable amenities, a prime location in Forest Hills, and a spacious layout, which are appealing to buyers. The description emphasizes a great opportunity, suggesting a quick sale.","The property features high-end amenities and finishes, such as a steam shower and granite countertops, which are attractive to buyers. Its prime location near transportation and dining also suggests a quick sale."
3693894,71,moderate,moderate,moderate,fast,"The property is well-equipped with amenities and located in a desirable area, which typically attracts buyers. However, the age of the building and high HOA fees may have contributed to a moderate selling time.","The property has appealing features like a large balcony and updated amenities, but its age and high HOA fees may slow down interest, leading to a moderate selling time.","The property features desirable amenities, a prime location with lake views, and modern updates, which are appealing to buyers. The combination of these factors likely led to a quick sale."
122142272,92,moderate,moderate,fast,fast,"The property is located in a desirable area with modern amenities, which typically attracts buyers. However, the size and price point may lead to a moderate selling time.","The property features high-end finishes and modern amenities, which are attractive to buyers. The location in NoMad, a vibrant area, also contributes to its fast-selling potential.","The property features high-end amenities and modern design elements, including Miele appliances and a rooftop terrace, which are attractive to buyers, suggesting a quick sale."
20110411,9,moderate,moderate,moderate,moderate,"The property has been on the market for 60 years, indicating it may have unique challenges. However, its features like a pool and large lot suggest it could attract buyers, leading to a moderate selling time.","The property has been on the market for 60 years and requires updating and TLC, which typically leads to a moderate selling time. Its features may attract buyers, but the condition is a concern.","The property has been on the market for 60 years, indicating it may require significant updates and repairs, which can slow down the selling process despite its desirable location."
340064657,114,moderate,moderate,moderate,fast,"The property has a large size and multiple living spaces, which may attract buyers but could also lead to a longer selling period. Thus, it likely sold in a moderate timeframe.","The property has a desirable location and ample living space, but its age and lack of modern features may have contributed to a moderate selling time.","The property features a prime location, ample living space, and potential for rental income, which are highly attractive to buyers. The description emphasizes versatility and convenience, suggesting a quick sale."
31500251,108,moderate,fast,fast,fast,"The property is located in a prime area of West Village, which is highly desirable. Its features, such as a renovated kitchen and spacious layout, likely contributed to a quick sale.","The property is located in a prime area of West Village, features modern renovations, and has desirable amenities, which typically attract buyers quickly, leading to a fast sale.","The property features high-end renovations and desirable amenities in a prime location, which typically attracts buyers quickly, leading to a fast sale."
20581561,159,slow,moderate,moderate,moderate,"The property is well-located and has potential, which typically attracts buyers. However, the age and type may lead to a moderate selling time, likely between 4 to 153 days.","The property is well-maintained and located in a desirable area near USC and transit, which typically attracts buyers. However, the age of the building and lack of parking may slow down the sale.","The property is well-maintained and located near key amenities, which typically attracts buyers. However, the age of the building and lack of parking may slow down the sale."
3738409,121,moderate,fast,fast,fast,"The property is in a prime location with stunning views and modern amenities, likely attracting buyers quickly. Its desirable features suggest a fast sale, likely within 20 days.","The property features a desirable split floor plan with stunning views, a prime Lincoln Park location, and modern updates, which are appealing traits that typically lead to a quick sale.","The property features a desirable split floor plan, stunning views, and a prime Lincoln Park location with ample amenities. These factors typically lead to quick sales in competitive markets."
20613426,22,moderate,moderate,moderate,moderate,"The property is located in a desirable area of Los Angeles with appealing features, which likely contributed to a moderate selling time of 2 to 128 days.","The property is a charming one-story home in a desirable area, but lacks strong fast-selling keywords. It likely sold in a moderate timeframe due to its age and standard features.","The property has appealing features like granite countertops and a gated yard, but lacks fast-selling keywords. It likely sold in a moderate timeframe due to its location and amenities."
2118228526,194,moderate,moderate,moderate,fast,"The property is located in an upscale waterfront community, which typically attracts buyers, but its age and size may have contributed to a moderate selling time.","The property features appealing attributes like hardwood floors and a cozy fireplace, but lacks highly sought-after keywords for fast sales. Its upscale location may contribute to a moderate selling time.","The property features desirable attributes like hardwood floors, a cozy fireplace, and a private terrace in an upscale waterfront community, which typically attract buyers quickly."
4117395,76,moderate,slow,slow,slow,"The property requires significant rehabilitation and is being sold 'AS IS', which typically leads to a longer time on the market as buyers may be deterred by the condition.","The property requires significant rehabilitation and is sold AS IS, which typically leads to a longer time on the market. The lack of appealing features suggests a slow sale.","The property requires significant rehabilitation and is sold 'AS IS', which typically deters many buyers, leading to a longer time on the market."
20142554,53,moderate,moderate,moderate,moderate,"The property was on the market for 60 days, which indicates a moderate selling pace. Its unique features and potential likely attracted interest but required time for buyers to consider.","The property has been on the market for 60 days, which indicates a moderate selling time. The description highlights potential and charm, but lacks fast-selling keywords.","The property was on the market for 60 days, which indicates a moderate selling time. The description highlights its potential as a fixer-upper, appealing to buyers looking for investment opportunities."
2099978150,29,moderate,fast,fast,fast,"The property received multiple offers and had a high demand, indicating a quick sale likely within 20 days. The appealing features and location contributed to its fast-selling status.","The property received multiple offers and is described as a must-see, indicating high demand. Its modern features and prime location suggest it sold quickly.","The property received multiple offers and is described as a 'must-see', indicating high demand. Its modern features and prime location in Chicago suggest a quick sale."
65545617,30,moderate,fast,fast,fast,"The property features numerous upgrades and is positioned as a great investment opportunity, likely attracting buyers quickly. Its appeal and low assessment suggest a fast sale.","The property features modern updates like new flooring, fresh paint, and heated floors, which are attractive to buyers. Its rental potential also enhances its appeal, likely leading to a quick sale.","The property features numerous updates like new flooring, fresh paint, and heated floors, which are attractive to buyers. Its rental potential and low assessments also enhance its appeal, likely leading to a quick sale."
20378531,15,moderate,moderate,fast,fast,"The property features numerous upgrades and desirable amenities, which typically attract buyers. However, the age of the home and market conditions suggest a moderate selling time.","The property features numerous upgrades, a desirable pool, and a prime location near the 405, which are attractive selling points. The use of positive language suggests a quick sale.","The property features numerous upgrades, a solar system, and a gorgeous pool, appealing to buyers seeking modern amenities and outdoor living, likely leading to a quick sale."
63696114,59,moderate,fast,fast,fast,"The property received multiple offers and had a deadline for highest and best offers, indicating high demand. This suggests it sold quickly, likely within 20 days.","The property received multiple offers and is located in the desirable Bucktown area, which typically indicates a fast sale. The luxurious features and spacious layout also attract buyers quickly.","The property received multiple offers and is located in the desirable Bucktown area, indicating high demand. The luxurious features and spacious layout likely contributed to a quick sale."
29809431,67,moderate,moderate,slow,slow,"The property is a one-bedroom condo in a competitive market like New York. Given its age and size, it likely sold in a moderate timeframe, balancing demand and supply.","The property is located in Parkchester, which is associated with slow-selling trends. Additionally, the age of the condo and lack of modern amenities may contribute to a longer time on the market.","The property is located in Parkchester, a neighborhood associated with slow-selling trends. Additionally, the lack of high-demand features in the description suggests a longer time on the market."
102961455,149,moderate,moderate,fast,fast,"The property is well-located with appealing features and amenities, suggesting a moderate selling time. It likely attracted interest but may have taken longer due to market conditions.","The property features modern amenities, a prime location in Kensington, and is described with appealing language that suggests desirability, likely leading to a quick sale.","The property features modern amenities, natural light, and a desirable location in Kensington, which are appealing to buyers. The description emphasizes convenience and community charm, likely leading to a quick sale."
3845236,49,moderate,fast,fast,fast,"The property is in a prime location with desirable features and amenities, which typically leads to quick sales. Its investor-friendly nature and consistent rental history suggest high demand.","The property is a well-located studio in a desirable area with strong rental history, modern updates, and appealing amenities, suggesting it would sell quickly.","The property is in a desirable location with investor-friendly features, updated amenities, and a history of quick rentals, indicating strong demand and likely a fast sale."
245371465,259,moderate,fast,fast,fast,"The property is described as 'Brand New to Market' and features luxurious amenities, which typically attract buyers quickly, suggesting a fast sale.","The property features a grand foyer, luxurious living spaces, and a gourmet kitchen, which are appealing attributes. The description emphasizes urgency with 'Brand New to Market!' suggesting a fast sale.","The property features high-end amenities like a gourmet kitchen and luxurious living spaces, which are appealing to buyers. The description emphasizes urgency with 'Brand New to Market!', suggesting a fast sale."
4141949,24,moderate,slow,slow,slow,"The property has a long-term tenant and a judgment that may deter buyers, likely leading to a longer time on the market, hence a slow selling classification.","The property has a long-term tenant and a judgment until 2025, which may deter buyers. Additionally, the age of the house and lack of parking could contribute to a slower sale.","The property has a long-term Section 8 tenant, which may deter some buyers. Additionally, the judgment on the property until 2025 could complicate the sale, leading to a slower market time."
31516647,190,moderate,fast,fast,fast,"The property is in a prime location with desirable amenities and features, which typically leads to a quick sale. Given the competitive NYC market, it likely sold within 55 days.","The property features desirable amenities, a prime Midtown location, and appealing characteristics like a wrap-around balcony and city views, which typically attract buyers quickly.","The property features high-end amenities and a prime Midtown location, which are attractive to buyers. The description emphasizes convenience and luxury, suggesting a quick sale."
2056806871,194,moderate,moderate,fast,fast,"The property has appealing features such as location, size, and investment potential, which likely contributed to a moderate selling time, possibly between 55 to 280 days.","The property is well-located in New York, features multiple units for living and rental, and includes desirable amenities like parking and proximity to subway, indicating a fast sale.","The property features desirable attributes like spacious living areas, multiple bedrooms, and proximity to public transport, which are appealing to buyers, leading to a fast sale."
3925719,68,moderate,moderate,moderate,moderate,"The property was previously under contract but returned to the market due to buyer's job loss. Given its features and condition, it is likely to sell in a moderate timeframe.","The property has appealing features like a tri-level style, updated kitchen, and well-maintained condition, but the mention of it being back on the market suggests a moderate selling time.","The property has desirable features like a tri-level design, modern updates, and a spacious yard, but it was previously on the market due to a buyer's job loss, indicating a moderate selling timeframe."
72515765,227,moderate,moderate,moderate,moderate,"The property features a major price reduction and extensive amenities, which likely attracted buyers, but the age and size suggest it may have taken longer to sell, resulting in a moderate selling time.","The property features high-end finishes and a desirable location, but the lengthy description and major price reduction suggest it may have taken longer to sell, indicating a moderate selling time.","The property features high-end finishes and a desirable location, but the major price reduction suggests it may have been on the market longer than expected, indicating a moderate selling time."
345747653,13,moderate,moderate,moderate,moderate,"The property offers multiple living units and modern amenities, appealing to a wide range of buyers. However, the size and complexity may lead to a moderate selling time of 2 to 128 days.","The property features multiple living units and modern amenities, which are appealing. However, the lack of specific fast-selling keywords suggests a moderate selling time.","The property features multiple living units and modern amenities, appealing to a wide range of buyers. However, the complexity of multi-unit properties may lead to a moderate selling time."
245412652,136,moderate,fast,fast,fast,"The description emphasizes a 'reduced price for fast sale' and highlights the property's desirable location and amenities, suggesting a quick sale likely within 0 to 55 days.","The property description emphasizes a 'reduced price for fast sale' and highlights its prime location and amenities, suggesting a strong demand that likely led to a quick sale.","The property is marketed with a 'reduced price for fast sale' and highlights its spaciousness and prime location, which are appealing factors that typically lead to a quick sale."
20449740,29,moderate,moderate,fast,fast,"The property is located in a desirable area with unique charm, which typically attracts buyers. However, the age and size may have contributed to a moderate selling time.","The property is located in a desirable area near Abbot Kinney, features charming updates, and has appealing outdoor space, which are all attractive to buyers, likely leading to a quick sale.","The property is located in a desirable Venice area, features charming upgrades, and has a strong appeal with its character and proximity to trendy locations, indicating a likely quick sale."
20785439,91,moderate,moderate,fast,fast,"The property features high-end amenities and a prime location, which typically attract buyers. However, the size and price may have contributed to a moderate selling time.","The property features high-end finishes, modern amenities, and a prime location, which are attractive to buyers. The unique design and luxury elements likely contributed to a quick sale.","The property features high-end amenities, a prime location, and modern design elements that appeal to buyers, suggesting it likely sold quickly, within 0 to 2 days."
3945955,67,moderate,moderate,slow,moderate,"The property has appealing features like a modern kitchen and finished basement, but its age and location may have contributed to a moderate selling time, likely between 21 to 174 days.","The description includes terms like 'raised ranch' and 'mudroom', which are often associated with slower sales. Additionally, the age of the home and its features may not appeal to all buyers.","The property features a spacious layout, modern amenities, and a desirable location near public transport, which typically attracts buyers. However, the age of the home and some slow-selling keywords suggest a moderate selling time."
19876907,13,moderate,moderate,moderate,moderate,"The property is described as move-in ready with numerous upgrades and a prime location, which typically attracts buyers quickly. However, the age of the home and market conditions suggest a moderate selling time.","The property features numerous appealing upgrades and a prime location, but the description lacks urgency and mentions a long family history, suggesting a moderate selling timeframe.","The property features numerous upgrades and a desirable location, which typically attract buyers. However, the lengthy description and mention of potential customization suggest it may take longer to sell."
321909393,50,fast,moderate,fast,fast,"The property is located in a prime area of New York City with luxury features, which typically attracts buyers. However, the selling time suggests a moderate market response, likely due to high competition.","The property features high-end finishes and amenities, including a chef's kitchen with Gaggenau appliances and a prime location in NYC, which typically attracts buyers quickly.","The property features high-end finishes and luxury amenities, appealing to affluent buyers. Its prime location and sophisticated design suggest a quick sale, likely within 55 days."
63700946,31,moderate,fast,fast,fast,"The property is located in a desirable area with great amenities and views, which typically attracts buyers quickly. The description highlights its investment potential, suggesting a fast sale.","The property features desirable attributes like city skyline views, modern amenities, and a prime location in River North, which typically attracts buyers quickly, leading to a fast sale.","The property features desirable attributes like city skyline views, modern amenities, and a prime location in River North, which typically attract buyers quickly, leading to a fast sale."
29847501,46,fast,moderate,fast,fast,"The property is well-updated and located in a desirable area, but its age and size may have contributed to a moderate selling time, likely taking longer than 54 days.","The property features desirable updates and amenities like a large deck, pool, and modern kitchen, which are appealing to buyers. Its prime location in Throggs Neck also suggests a quicker sale.","The property features desirable attributes like a spacious layout, modern updates, and outdoor amenities, which are appealing to buyers. The use of positive language suggests a quick sale."
124438697,160,moderate,fast,fast,fast,"The property is located in a desirable area of Tribeca with modern amenities and a spacious layout, likely attracting buyers quickly, resulting in a fast sale.","The property features high-end finishes, modern amenities, and is located in a desirable area like Tribeca, which typically attracts buyers quickly, suggesting a fast sale.","The property features high-end amenities and luxury brands like Miele and Scavolini, which are attractive to buyers. Its prime location in Tribeca also contributes to a quick sale."
4117522,70,moderate,moderate,slow,slow,"The property has potential but needs updating, which may deter some buyers. Its good location and features suggest a moderate selling time, likely between 21 to 174 days.","The property needs updating and is being sold AS-IS, which may deter buyers. Additionally, the presence of slow-selling keywords suggests it may take longer to sell.","The property is described as needing updates and being sold AS-IS, which may deter buyers looking for move-in ready homes. Additionally, the presence of 'ranch' and 'fenced' suggests a slower market appeal."
20168276,9,moderate,moderate,moderate,moderate,"The property has appealing features like a pool and updated kitchen, but it also needs some TLC. This combination likely led to a moderate selling time, attracting buyers but requiring some patience.","The property has appealing features like a pool and updated kitchen, but mentions needing TLC, which may deter some buyers. This suggests a moderate selling time.","The property has appealing features like a pool and updated kitchen, but mentions needing TLC, which may deter some buyers. This suggests a moderate selling time."
3705507,66,moderate,moderate,fast,fast,"The property is located in a desirable area with good amenities, which typically leads to a moderate selling time. However, the age of the building and lack of parking may have slowed the sale.","The property features desirable attributes like a garden unit, updated entryway, and proximity to public transport and attractions, which typically attract buyers quickly.","The property features desirable attributes like a bright garden unit, in-unit laundry, and proximity to public transport and amenities, which typically attract buyers quickly."
122587454,84,moderate,moderate,moderate,moderate,"The property features high-end amenities and a desirable location, which typically attracts buyers. However, the size and price may have contributed to a moderate selling time.","The property features high-end amenities and a unique design, which typically attract buyers, but the description lacks urgency or buzz words that indicate a fast sale. Thus, it likely sold in a moderate timeframe.","The property features high-end amenities and a desirable location, but lacks fast-selling keywords. Its unique features may attract buyers, leading to a moderate selling time."
20687645,6,moderate,moderate,fast,fast,"The property features desirable amenities and a prime location, which typically attracts buyers. However, the age of the building and market conditions suggest a moderate selling time.","The property features desirable attributes like high ceilings, a split-primary-suite layout, and stunning views, which are appealing to buyers. Its prime location near dining and leisure options further enhances its attractiveness, likely leading to a quick sale.","The property features highly desirable attributes such as high ceilings, a split-primary-suite layout, and stunning views, which are appealing to buyers. The upgraded condition and prime location suggest a quick sale."
20177132,177,slow,moderate,moderate,fast,"The property is luxurious and well-located, which typically attracts buyers, but its age and size may lead to a moderate selling time of 2 to 128 days.","The property features luxury amenities and a flexible layout, appealing to many buyers. However, its age and specific location may have contributed to a moderate selling time.","The property features luxury amenities, a flexible floor plan, and is located in a desirable area near CSUN, which typically attracts buyers quickly, leading to a fast sale."
3721640,57,moderate,fast,fast,fast,"The property features desirable amenities, a prime location, and modern updates, which likely contributed to a quick sale within 0 to 20 days.","The property features modern updates, a desirable location with lake views, and amenities that appeal to buyers, suggesting a quick sale likely within 20 days.","The property features modern updates, a desirable location near amenities, and unobstructed views, which are attractive to buyers. These factors likely contributed to a quick sale."
119097767,86,moderate,fast,fast,fast,"The high-end features and prime location in Lincoln Park likely attracted buyers quickly, resulting in a fast sale within 0 to 20 days.","The property features high-end amenities and is located in a desirable area of Lincoln Park, which typically attracts buyers quickly. The luxury aspects and modern finishes suggest a fast sale.","The property features high-end amenities, a desirable location in Lincoln Park, and a modern layout, which are attractive to buyers, likely leading to a quick sale."
89908195,111,moderate,moderate,fast,fast,"The property is well-equipped and located in a desirable area, but the age and size suggest it may take longer to sell, resulting in a moderate selling time.","The property features modern amenities and is located near popular attractions, which typically attract buyers quickly. The description emphasizes convenience and luxury, suggesting a fast sale.","The property features modern amenities, a desirable location near the lake and cultural centers, and a well-maintained interior, which are appealing to buyers, likely leading to a quick sale."
20437875,40,moderate,moderate,moderate,fast,"The property features numerous attractive updates and amenities, which likely contributed to a moderate selling time. It appeals to buyers looking for charm and functionality.","The property features many appealing updates and a desirable location, but lacks specific fast-selling keywords. This suggests a moderate selling time, likely between 2 to 128 days.","The property features numerous upgrades, a desirable location in Culver City, and an ADU, which are all attractive to buyers. The charming description suggests high demand, likely leading to a quick sale."
89333103,231,moderate,moderate,fast,fast,"The property features luxury amenities and a desirable location, which typically attracts buyers. However, the age and size may lead to a moderate selling time, likely between 55 to 280 days.","The property features high-end finishes, a desirable location with amenities, and a split bedroom layout, which are attractive to buyers, suggesting a quick sale.","The property features high-end finishes, luxury amenities, and a desirable location, which are attractive to buyers. The split bedroom layout and modern appliances further enhance its appeal, likely leading to a quick sale."
2062748823,75,moderate,moderate,fast,moderate,"The property has multiple attractive features such as remodeled kitchens and bathrooms, good location, and rental income potential, which likely contributed to a moderate selling time.","The property has desirable features like remodeled kitchens and bathrooms, a private driveway, and proximity to public transport and amenities, which typically attract buyers quickly.","The property has desirable features like remodeled kitchens and bathrooms, proximity to public transport, and parking, but lacks fast-selling keywords, indicating a moderate selling time."
20530954,29,moderate,fast,fast,fast,"The description emphasizes the rarity and desirability of the condo, suggesting it will attract buyers quickly. Phrases like 'this home won't last long' indicate a fast-selling property.",The property is described as a 'RARE OPPORTUNITY' in a highly sought-after area with luxury amenities and customization potential. The urgency in the description suggests it will sell quickly.,"The property is described as a 'RARE OPPORTUNITY' in a highly sought-after area with luxury amenities and customization potential. The phrase 'THIS HOME WON'T LAST LONG' suggests high demand, indicating a fast sale."
19902596,6,moderate,moderate,moderate,moderate,"The property has appealing features and is located in a desirable area, which likely contributed to a moderate selling time of 2 to 128 days.","The property features appealing attributes like a spacious layout and energy-efficient upgrades, but lacks high-demand keywords that typically indicate a fast sale. Thus, it likely sold in a moderate timeframe.","The property features a desirable location, ample space, and modern amenities, but lacks specific fast-selling keywords. This suggests a moderate selling time of 2 to 128 days."
